#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         587     1.73178     1.67304  0.00128687
         588     1.73189     1.67314  0.00128857
         589     1.73199     1.67324  0.00129025
         590     1.73205     1.67334   0.0012919
         591      1.7321     1.67344  0.00129354
         592     1.73213     1.67354  0.00129515
         593     1.73213     1.67364  0.00129673
         594     1.73211     1.67374  0.00129827
         595     1.73207     1.67383  0.00129979
         596     1.73201     1.67393  0.00130127
         597     1.73192     1.67403  0.00130271
         598     1.73181     1.67413  0.00130411
         599     1.73168     1.67422  0.00130547
         600     1.73153     1.67432  0.00130678
         601     1.73136     1.67441  0.00130805
         602     1.73116     1.67451  0.00130927
         603     1.73095      1.6746  0.00131044
         604     1.73071     1.67469  0.00131156
         605     1.73046     1.67478  0.00131262
         606     1.73019     1.67488  0.00131364
         607      1.7299     1.67497   0.0013146
         608      1.7296     1.67506   0.0013155
         609     1.72928     1.67515  0.00131635
         610     1.72896     1.67523  0.00131715
         611     1.72862     1.67532  0.00131789
         612     1.72827     1.67541  0.00131857
         613     1.72792     1.67549   0.0013192
         614     1.72756     1.67558  0.00131977
         615     1.72721     1.67566  0.00132029
         616     1.72685     1.67575  0.00132076
         617      1.7265     1.67583  0.00132118
         618     1.72616     1.67591  0.00132155
         619     1.72583     1.67599  0.00132188
         620     1.72551     1.67607  0.00132215
         621     1.72521     1.67615  0.00132239
         622     1.72493     1.67623  0.00132259
         623     1.72467     1.67631  0.00132275
         624     1.72444     1.67638  0.00132288
         625     1.72423     1.67646  0.00132297
         626     1.72406     1.67653  0.00132304
         627     1.72391     1.67661  0.00132309
         628     1.72379     1.67669  0.00132311
         629     1.72371     1.67676  0.00132312
         630     1.72365     1.67683  0.00132311
         631     1.72362     1.67691  0.00132309
         632     1.72363     1.67698  0.00132306
         633     1.72365     1.67706  0.00132302
         634     1.72369     1.67713  0.00132298
         635     1.72375      1.6772  0.00132293
         636     1.72382     1.67728  0.00132288
         637     1.72389     1.67735  0.00132283
         638     1.72396     1.67742  0.00132277
         639     1.72401      1.6775  0.00132271
         640     1.72405     1.67757  0.00132264
         641     1.72405     1.67764  0.00132256
         642     1.72401     1.67771  0.00132247
         643     1.72392     1.67779  0.00132237
         644     1.72377     1.67786  0.00132224
         645     1.72355     1.67793  0.00132209
         646     1.72325       1.678   0.0013219
         647     1.72286     1.67807  0.00132167
         648     1.72238     1.67814   0.0013214
         649     1.72179      1.6782  0.00132108
         650      1.7211     1.67827  0.00132069
         651      1.7203     1.67833  0.00132024
         652     1.71939      1.6784  0.00131972
         653     1.71837     1.67846  0.00131911
         654     1.71725     1.67852  0.00131843
         655     1.71604     1.67857  0.00131766
         656     1.71475     1.67863  0.00131681
         657     1.71339     1.67868  0.00131586
         658     1.71198     1.67873  0.00131484
         659     1.71055     1.67878  0.00131373
         660     1.70911     1.67883  0.00131254
         661     1.70771     1.67887  0.00131128
         662     1.70636     1.67891  0.00130996
         663      1.7051     1.67895  0.00130858
         664     1.70396     1.67899  0.00130715
         665     1.70297     1.67903  0.00130568
         666     1.70216     1.67906  0.00130418
         667     1.70155     1.67909  0.00130266
         668     1.70117     1.67913  0.00130113
         669     1.70104     1.67916   0.0012996
         670     1.70116     1.67919  0.00129807
         671     1.70154     1.67923  0.00129657
         672     1.70217     1.67926  0.00129509
         673     1.70306      1.6793  0.00129365
         674     1.70418     1.67933  0.00129225
         675     1.70552     1.67937  0.00129092
         676     1.70705     1.67941  0.00128966
         677     1.70874     1.67946  0.00128848
         678     1.71056      1.6795   0.0012874
         679     1.71249     1.67955  0.00128642
         680     1.71449      1.6796  0.00128555
         681     1.71652     1.67966  0.00128481
         682     1.71856     1.67971  0.00128419
         683     1.72059     1.67977   0.0012837
         684     1.72256     1.67983  0.00128335
         685     1.72447      1.6799  0.00128313
