#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         591    -1.00304    -0.91485  0.00194895
         592    -1.00305   -0.914999  0.00195134
         593    -1.00302   -0.915148  0.00195369
         594    -1.00296   -0.915295  0.00195598
         595    -1.00287   -0.915443  0.00195823
         596    -1.00274   -0.915589  0.00196041
         597    -1.00257   -0.915735  0.00196253
         598    -1.00237    -0.91588  0.00196459
         599    -1.00215   -0.916024  0.00196658
         600    -1.00189   -0.916167  0.00196851
         601     -1.0016   -0.916309  0.00197036
         602    -1.00128    -0.91645  0.00197213
         603    -1.00093    -0.91659  0.00197383
         604    -1.00054   -0.916729  0.00197545
         605    -1.00014   -0.916867  0.00197699
         606    -0.99971   -0.917004  0.00197845
         607   -0.999263   -0.917139  0.00197983
         608   -0.998784   -0.917273  0.00198112
         609   -0.998292   -0.917406  0.00198233
         610   -0.997786   -0.917538  0.00198345
         611   -0.997264   -0.917669  0.00198449
         612   -0.996736   -0.917798  0.00198545
         613     -0.9962   -0.917926  0.00198633
         614   -0.995665   -0.918052  0.00198712
         615   -0.995133   -0.918178  0.00198784
         616    -0.99461   -0.918302  0.00198848
         617   -0.994095   -0.918425  0.00198905
         618     -0.9936   -0.918546  0.00198955
         619   -0.993124   -0.918667  0.00198998
         620   -0.992676   -0.918786  0.00199035
         621   -0.992254   -0.918904  0.00199065
         622   -0.991869   -0.919022  0.00199091
         623   -0.991521   -0.919138  0.00199111
         624   -0.991214   -0.919254  0.00199127
         625   -0.990945   -0.919368  0.00199138
         626   -0.990724   -0.919482  0.00199146
         627    -0.99055   -0.919596  0.00199151
         628   -0.990424   -0.919709  0.00199153
         629   -0.990344   -0.919821  0.00199152
         630   -0.990313   -0.919933   0.0019915
         631   -0.990321   -0.920044  0.00199147
         632   -0.990356   -0.920155  0.00199142
         633   -0.990424   -0.920267  0.00199137
         634   -0.990513   -0.920377  0.00199131
         635   -0.990613   -0.920488  0.00199124
         636   -0.990725   -0.920598  0.00199117
         637   -0.990826   -0.920709   0.0019911
         638   -0.990908   -0.920819  0.00199101
         639   -0.990955   -0.920928  0.00199092
         640   -0.990965   -0.921038  0.00199081
         641   -0.990907   -0.921147  0.00199069
         642   -0.990779   -0.921255  0.00199054
         643   -0.990559   -0.921363  0.00199036
         644   -0.990234    -0.92147  0.00199014
         645   -0.989785   -0.921576  0.00198987
         646   -0.989205   -0.921681  0.00198954
         647   -0.988483   -0.921784  0.00198915
         648   -0.987601   -0.921885  0.00198867
         649   -0.986571   -0.921985   0.0019881
         650   -0.985373   -0.922083  0.00198743
         651   -0.984015   -0.922178  0.00198665
         652   -0.982489    -0.92227  0.00198576
         653   -0.980818    -0.92236  0.00198474
         654   -0.979003   -0.922447   0.0019836
         655   -0.977063    -0.92253  0.00198232
         656   -0.975021    -0.92261  0.00198091
         657   -0.972905   -0.922686  0.00197938
