#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         688     1.88995     2.05351  0.00454745
         689     1.88678     2.05327  0.00454728
         690      1.8838     2.05303  0.00454732
         691     1.88106     2.05278  0.00454755
         692      1.8786     2.05253  0.00454794
         693     1.87645     2.05227  0.00454846
         694     1.87464     2.05202  0.00454911
         695      1.8732     2.05176  0.00454983
         696     1.87214      2.0515  0.00455061
         697     1.87148     2.05124   0.0045514
         698      1.8712     2.05098  0.00455218
         699     1.87131     2.05073  0.00455292
         700     1.87178     2.05047  0.00455359
         701      1.8726     2.05022  0.00455416
         702     1.87373     2.04997  0.00455461
         703     1.87513     2.04972  0.00455491
         704     1.87677     2.04947  0.00455506
         705     1.87861     2.04923  0.00455504
         706     1.88061     2.04899  0.00455485
         707     1.88273     2.04876  0.00455447
         708     1.88492     2.04852  0.00455391
         709     1.88716      2.0483  0.00455317
         710     1.88941     2.04807  0.00455226
         711     1.89164     2.04785  0.00455117
         712     1.89382     2.04764  0.00454992
         713     1.89593     2.04742  0.00454851
         714     1.89796     2.04721  0.00454695
         715     1.89989     2.04701  0.00454526
         716     1.90169     2.04681  0.00454344
         717     1.90338     2.04661   0.0045415
         718     1.90492     2.04641  0.00453946
         719     1.90633     2.04621  0.00453733
         720     1.90759     2.04602  0.00453511
         721      1.9087     2.04583  0.00453282
         722     1.90967     2.04564  0.00453046
         723     1.91048     2.04545  0.00452805
         724     1.91115     2.04527  0.00452559
         725     1.91167     2.04509   0.0045231
         726     1.91205      2.0449  0.00452058
         727     1.91228     2.04472  0.00451804
